LiveEditorAutomaticCodingDoubleQuotes,matlab.editor.autocoding,DoubleQuotes,Boolean
LiveEditorAutomaticCodingRoundParentheses,matlab.editor.autocoding,Parentheses,Boolean
LiveEditorAutomaticCodingSingleQuotes,matlab.editor.autocoding,SingleQuotes,Boolean
LiveEditorAutomaticCodingSplitComment,matlab.editor.autocoding,Comments,Boolean
LiveEditorAutomaticCodingSplitDoubleQuoteString,matlab.editor.autocoding,Strings,Boolean
LiveEditorAutomaticCodingSplitSingleQuoteString,matlab.editor.autocoding,CharacterVectors,Boolean
LiveEditorAutomaticCodingSquareParentheses,matlab.editor.autocoding,SquareBrackets,Boolean
LiveEditorAutomaticCodingCompleteControlFlows,matlab.editor.autocoding,ControlFlows,Boolean
LiveEditorAutomaticCodingCompleteDefinitions,matlab.editor.autocoding,Definitions,Boolean
LiveEditorStepIntoUserFunctionsOnly,matlab.editor,OnlyStepInToUserFunctions,Boolean
LiveEditorProgrammingAids,matlab.keyboard.suggestions,ShowAutomatically,Integer
GeneralUseToolboxCache,matlab.toolboxpathcache,EnableToolboxPathCache,Boolean
LayoutToolBar,matlab.guide,LayoutToolBar,Boolean
LayoutStatusBar,matlab.guide,LayoutStatusBar,Boolean
LayoutQuickStartTab,matlab.guide,LayoutQuickStartTab,Integer
LayoutToolNames,matlab.guide,LayoutToolNames,Boolean
LayoutExtension,matlab.guide,LayoutExtension,Boolean
LayoutFullPath,matlab.guide,LayoutFullPath,Boolean
LayoutMCodeComments,matlab.guide,LayoutMCodeComments,Boolean
LayoutActivate,matlab.guide,LayoutActivate,Boolean
LayoutExport,matlab.guide,LayoutExport,Boolean
LayoutChangeDefaultCallback,matlab.guide,LayoutChangeDefaultCallback,Boolean
DocumentsDetailViewerSize,matlab.desktop.currentfolder.detailviewer,Size,Integer
DocumentsDetailViewerRatio,matlab.desktop.currentfolder.detailviewer,Ratio,Double
DocumentsDetailViewerCollapsed,matlab.desktop.currentfolder.detailviewer,Collapsed,Boolean
DocumentsConfirmMatWorkspaceReplace,matlab.confirmationdialogs,WorkspaceChangeConfirm,Boolean
DocumentsConfirmMatReplace,matlab.confirmationdialogs,MatFileChangeConfirm,Boolean
PCT_RestartPool_ClusterChange,matlab.confirmationdialogs,PCTRestartPoolOnClusterChange,Boolean
PCT_RestartPool_PrefSizeChange,matlab.confirmationdialogs,PCTRestartPoolOnPrefSizeChange,Boolean
PCT_SetCloudProfileAsDefault,matlab.confirmationdialogs,PCTSetCloudProfileAsDefault,Boolean
PCT_StartCloudCluster,matlab.confirmationdialogs,PCTStartCloudCluster,Boolean
PCT_ValidateCloudStartsCluster,matlab.confirmationdialogs,PCTValidateCloudStartsCluster,Boolean
PCT_ForcefullyShutdownCluster,matlab.confirmationdialogs,PCTForcefullyShutdownCluster,Boolean
PCT_MDCSRequired,matlab.confirmationdialogs,PCTMDCSRequired,Boolean
PCT_DeleteProfile,matlab.confirmationdialogs,PCTDeleteProfile,Boolean
CommandHistorySaveLinesR14,matlab.desktop.commandhistory,ObsoleteSaveOption,Integer
CommandHistoryCommandCountLimit,matlab.desktop.commandhistory,CommandCountLimit,Integer
CommandHistoryHistoryOptionsR14,matlab.desktop.commandhistory,SaveOptions,Integer
CommandHistoryMatchAnywhere,matlab.desktop.commandhistory,MatchAnywhere,Boolean
CommandHistoryMatchCase,matlab.desktop.commandhistory,MatchCase,Boolean
CommandHistoryFilterMatches,matlab.desktop.commandhistory,FilterMatches,Boolean
CommandHistoryShowMatchBar,matlab.desktop.commandhistory,ShowMatchBar,Boolean
CommandHistoryShowMatchBarWhenDocked,matlab.desktop.commandhistory,ShowMatchBarWhenDocked,Boolean
CommandHistoryShowMachIndicatorBar,matlab.desktop.commandhistory,ShowMatchLocations,Boolean
CommandHistoryShowExecutionTime,matlab.desktop.commandhistory,ShowExecutionTime,Boolean
CommandHistoryShowExecutionTimeWhenDocked,matlab.desktop.commandhistory,ShowExecutionTimeWhenDocked,Boolean
AltHistoryPopupWidth,matlab.desktop.commandhistory,PopupWidth,Integer
AltHistoryPopupHeight,matlab.desktop.commandhistory,PopupHeight,Integer
CopyOptions.FigureFormat,matlab.ui.copyoptions,FigureFormat,Integer
CopyOptions.FigureBackground,matlab.ui.copyoptions,FigureBackground,Integer
CopyOptions.MatchFigureScreen,matlab.ui.copyoptions,MatchFigureScreen,Boolean
CopyOptions.TextBold,matlab.ui.copyoptions,TextBold,Boolean
CopyOptions.TextBW,matlab.ui.copyoptions,TextBW,Boolean
CopyOptions.TextSizeChange,matlab.ui.copyoptions,TextSizeChange,Boolean
CopyOptions.TextSizeChangePref,matlab.ui.copyoptions,TextSizeChangePref,Integer
CopyOptions.TextSizeChangeTo,matlab.ui.copyoptions,TextSizeChangeTo,String
CopyOptions.TextSizeIncrease,matlab.ui.copyoptions,TextSizeIncrease,String
CopyOptions.LinesWidthCustom,matlab.ui.copyoptions,LinesWidthCustom,Boolean
CopyOptions.LinesWidth,matlab.ui.copyoptions,LinesWidth,String
CopyOptions.LinesStyleChange,matlab.ui.copyoptions,LinesStyleChange,Boolean
CopyOptions.LinesStylePref,matlab.ui.copyoptions,LinesStylePref,Integer
CopyOptions.LockAxesAndTickLabels,matlab.ui.copyoptions,LockAxesAndTickLabels,Boolean
CopyOptions.ShowUiControls,matlab.ui.copyoptions,ShowUiControls,Boolean
Desktop.Font.Code2,matlab.fonts.codefont,Name,Font,Style,Size
