Region,OutageTime,Loss,Customers,RestorationTime,Cause
NorthEast,2002-09-20 01:09,737.9410489,261367.01,2002-09-22 00:36,severe storm
West,2005-10-21 08:33,,52639.10129,2005-11-22 22:10,fire
NorthEast,2003-11-08 20:31,458.8764696,1.115625593,2003-11-08 20:59,severe storm
MidWest,2002-03-05 17:53,96.56294147,286657.9948,2002-03-10 14:41,wind
MidWest,2004-11-09 18:44,470.8283884,67586.93798,2004-11-09 21:24,wind
MidWest,2004-09-26 01:14,58.65608516,122878.7965,2004-10-01 01:36,wind
NorthEast,2004-12-29 01:25,411.0281886,109313.9825,2005-01-02 09:29,wind
NorthEast,2003-12-04 20:40,110.0147411,29915.90077,2003-12-05 16:25,wind
SouthEast,2004-11-24 21:22,473.1190177,106232.6706,2004-11-25 16:18,wind
SouthEast,2002-08-09 05:16,363.4793085,87995.99845,2002-08-09 08:06,wind
NorthEast,2002-12-10 23:15,872.9630818,451385.6162,2002-12-11 00:41,fire
West,2003-08-28 23:46,172.0066945,169637.6105,2003-09-03 02:10,wind
MidWest,2002-10-30 16:42,903.2756076,,2002-11-02 00:59,equipment fault
MidWest,2003-12-08 14:47,610.1119854,44416.83425,2003-12-10 12:11,equipment fault
SouthEast,2006-01-21 21:27,19.51336159,10994.20273,2006-01-21 23:25,equipment fault
MidWest,2004-01-19 12:37,16.03039775,2.229610516,2004-01-20 02:50,equipment fault
West,2005-03-01 14:39,115.4684691,82610.74465,2005-03-03 05:58,equipment fault
West,2005-09-26 06:32,258.1845532,139964.5173,2005-09-26 06:33,earthquake
West,2003-12-22 03:40,232.2550567,394615.7006,2003-12-24 16:32,winter storm
West,2003-01-10 15:38,185.8538132,275696.5857,2003-01-12 05:48,winter storm
West,2002-12-30 07:53,119.7848156,103547.9822,2003-01-02 11:17,winter storm
NorthEast,2004-01-14 20:01,87.07956044,14978.8712,2004-01-16 00:52,energy emergency
NorthEast,2004-01-04 10:45,145.8561257,27941.58313,2004-01-08 19:34,energy emergency
SouthEast,2004-01-31 14:40,528.7988729,168800.7316,2004-02-02 08:03,winter storm
SouthEast,2006-01-28 19:02,147.1005601,27318.68459,2006-01-30 00:35,winter storm
SouthEast,2006-01-26 21:13,622.4776518,12891.35567,2006-01-29 03:43,winter storm
NorthEast,2005-01-28 18:20,401.393326,89683.27062,2005-01-29 02:36,winter storm
NorthEast,2005-02-04 00:53,32.06131019,46181.86771,2005-02-09 02:42,winter storm
NorthEast,2006-02-08 01:03,26.3295409,15018.47717,2006-02-09 05:57,energy emergency
West,2004-02-21 22:43,276.4486474,,2004-02-22 10:12,thunder storm
West,2006-02-20 07:51,254.6108309,590546.1764,2006-02-21 03:15,winter storm
SouthEast,2003-02-27 04:53,8.154000407,33543.95431,2003-02-27 06:45,severe storm
SouthWest,2006-03-25 05:34,372.2078537,77092.74173,2006-04-06 21:51,wind
SouthEast,2003-03-05 23:50,971.9372592,216536.7525,2003-03-06 20:21,severe storm
West,2003-03-13 02:41,328.9091488,73350.88369,2003-03-13 03:12,energy emergency
West,2003-03-23 13:00,338.0959576,102044.2201,2003-03-23 13:39,equipment fault
SouthWest,2003-04-13 02:04,97.02273858,91516.19059,2003-04-14 00:57,thunder storm
SouthEast,2002-05-27 09:44,237.2835779,171014.8304,2002-05-27 16:19,wind
West,2003-06-28 09:15,374.806517,246107.5161,2003-06-30 13:44,wind
West,2006-05-13 21:17,822.991461,1094.197706,2006-05-13 23:47,severe storm
SouthWest,2002-05-08 20:34,50.73205379,34480.7498,2002-05-08 22:21,thunder storm
MidWest,2004-05-22 07:00,131.0293254,259794.2609,2004-05-24 04:09,thunder storm
MidWest,2004-05-15 07:55,250.6370413,194237.629,2004-05-18 02:33,thunder storm
NorthEast,2006-01-26 11:25,65.5193632,107992.9359,2006-01-29 01:34,wind
MidWest,2004-05-19 16:40,338.5556289,117431.5721,2004-05-23 13:43,thunder storm
MidWest,2006-05-30 19:19,203.875878,230635.4234,2006-06-02 19:21,thunder storm
MidWest,2003-05-16 20:42,559.0448332,194689.0829,2003-05-21 01:18,thunder storm
SouthEast,2002-06-02 16:11,0,0,2002-06-05 05:55,energy emergency
SouthEast,2006-06-01 15:55,0,0,2006-06-05 05:56,energy emergency
SouthEast,2004-05-25 15:54,0,0,2004-05-28 21:25,energy emergency
SouthWest,2002-08-20 09:59,2796.033376,832865.5639,2002-08-20 15:59,wind
MidWest,2003-02-12 08:44,267.4411415,38360.41372,2003-02-18 07:50,wind
MidWest,2006-02-26 20:37,255.3565204,53385.28422,2006-03-04 14:48,wind
MidWest,2006-06-18 22:49,449.165459,129453.2143,2006-06-18 22:52,severe storm
West,2004-07-17 06:01,254.2509334,40756.04359,2004-07-17 11:51,equipment fault
West,2004-06-16 00:25,151.2083543,30991.95876,2004-06-16 02:46,energy emergency
SouthEast,2002-06-17 23:01,42.54191109,39877.06961,2002-06-17 23:49,thunder storm
West,2005-07-11 13:16,,,2005-08-07 16:06,fire
West,2004-07-04 13:09,,,2004-07-29 20:56,fire
SouthEast,2005-07-03 17:46,97.16959399,66468.61394,2005-07-04 01:12,thunder storm
SouthEast,2006-06-22 02:42,391.6052792,60912.62537,2006-06-22 06:20,equipment fault
MidWest,2004-07-06 21:29,330.5311516,78109.37384,2004-07-10 10:38,thunder storm
West,2005-07-17 21:12,265.536991,,2005-07-18 04:12,fire
SouthEast,2004-07-23 19:54,190.4010203,50163.30763,2004-07-23 22:11,fire
MidWest,2002-07-18 22:21,254.1508485,229913.5807,2002-07-20 00:55,thunder storm
SouthEast,2004-07-24 19:40,,,2004-07-26 14:39,energy emergency
SouthEast,2006-07-18 02:00,75.46953575,77052.14753,2006-07-18 02:56,severe storm
SouthEast,2005-10-27 04:51,,,2005-10-27 19:17,equipment fault
MidWest,2006-08-04 02:19,169.6258137,170722.1882,2006-08-04 11:38,severe storm
West,2005-06-07 04:18,259.6562106,91301.1153,2005-06-07 05:49,equipment fault
SouthEast,2002-09-20 15:40,604.3073392,380299.5437,2002-09-20 18:06,equipment fault
SouthEast,2002-08-14 12:10,736.3739248,254094.764,2002-08-21 19:11,severe storm
SouthEast,2003-08-15 19:06,2031.828564,1549597.972,2003-08-16 05:13,severe storm
SouthEast,2004-08-17 17:34,624.0955213,178787.408,,severe storm
SouthEast,2002-08-18 20:56,299.8937343,85274.02077,2002-08-18 23:54,severe storm
SouthEast,2002-08-11 01:46,56.62955364,18316.68001,2002-08-11 13:39,severe storm
SouthEast,2003-08-06 17:20,437.1412722,74334.58256,2003-08-07 06:12,severe storm
NorthEast,2003-08-17 19:41,23417.7235,352914.0753,2003-08-18 02:22,thunder storm
SouthEast,2004-08-23 13:34,670.6307359,159489.3105,2004-08-23 18:23,severe storm
SouthEast,2004-09-03 23:00,116.3287265,87057.86989,2004-09-04 22:05,severe storm
SouthEast,2003-09-04 00:40,168.5848829,29842.7762,2003-09-06 00:34,severe storm
SouthEast,2004-09-13 11:51,3257.184566,1581116.226,2004-09-15 23:41,severe storm
SouthEast,2005-09-02 14:01,1101.283047,249093.8552,2005-09-09 17:48,severe storm
SouthEast,2005-09-05 05:03,267.2648968,81957.91724,2005-09-12 01:05,severe storm
SouthEast,2004-09-02 11:19,2159.085006,924802.5627,2004-09-11 04:11,severe storm
SouthEast,2005-08-30 16:45,4212.892764,134008.9453,2005-09-03 20:24,severe storm
SouthEast,2003-09-12 14:16,1730.566598,126122.8468,2003-09-13 21:00,severe storm
SouthEast,2003-09-10 16:09,910.6054168,1049380.906,2003-09-14 23:57,severe storm
SouthEast,2006-09-14 23:05,1327.882438,1240171.334,2006-09-16 11:20,severe storm
SouthEast,2004-09-11 06:02,303.0022035,86258.2867,2004-09-11 16:30,severe storm
SouthEast,2004-09-26 00:54,624.3191748,225063.0146,2004-10-01 13:12,severe storm
SouthEast,2003-09-09 08:41,240.1553747,73558.83119,2003-09-10 06:32,severe storm
SouthEast,2005-09-19 21:00,62.83467772,12451.41373,2005-09-20 11:59,severe storm
SouthEast,2004-09-18 06:20,1585.096728,336415.8686,2004-09-19 10:00,severe storm
SouthEast,2005-09-18 06:48,259.5537479,72536.95629,2005-09-24 10:52,severe storm
SouthEast,2003-10-02 10:01,1205.798929,508612.0522,2003-10-06 05:25,severe storm
SouthEast,2003-09-19 12:16,517.1327007,46961.95924,2003-09-19 19:15,severe storm
NorthEast,2003-09-07 06:31,,,2003-09-07 06:37,equipment fault
SouthEast,2005-11-08 10:13,,,2005-11-09 07:28,equipment fault
West,2006-10-15 04:29,103.2318438,282876.7145,2006-10-16 05:18,wind
SouthEast,2005-10-30 15:41,,,2005-10-31 18:15,fire
West,2002-12-09 16:50,75.76619034,41633.57316,2002-12-09 19:38,equipment fault
MidWest,2004-11-30 23:29,45.15920461,79970.16335,2004-12-02 06:50,wind
MidWest,2004-10-03 18:39,728.5898601,144924.713,2004-10-09 05:27,wind
NorthEast,2005-11-15 18:57,0,0,2005-11-19 14:37,energy emergency
NorthEast,2006-11-16 10:04,147.2502062,125711.966,2006-11-17 10:55,winter storm
SouthWest,2002-11-26 04:12,149.2866378,104154.8336,2002-11-26 07:08,thunder storm
SouthEast,2006-11-14 14:52,50.71611137,39493.00825,2006-11-14 17:58,thunder storm
NorthEast,2002-08-03 04:41,333.9794693,152871.4995,2002-08-04 10:56,wind
NorthEast,2004-08-09 23:55,,105400.7615,2004-08-11 09:39,wind
MidWest,2002-12-26 09:21,669.2487905,271068.7514,2003-01-07 12:06,winter storm
West,2004-12-28 16:04,89.33383283,87153.30287,2004-12-28 18:09,severe storm
SouthEast,2003-01-06 22:50,214.0139691,236146.1282,2003-01-17 10:43,winter storm
MidWest,2006-12-29 21:42,293.1976844,293625.9294,2007-01-09 07:07,winter storm
MidWest,2005-01-02 03:26,603.6940852,136305.8335,2005-01-14 05:15,winter storm
West,2007-01-05 20:51,117.3020511,395446.1714,2007-01-07 12:50,winter storm
SouthEast,2004-01-12 14:19,278.7738416,,2004-01-12 14:27,energy emergency
SouthEast,2006-01-28 15:55,127.6047206,,2006-01-28 16:56,energy emergency
SouthEast,2003-01-21 11:54,200.0174655,56395.50762,2003-01-21 12:01,energy emergency
SouthEast,2007-01-29 17:18,554.0148172,,2007-01-29 17:21,energy emergency
SouthEast,2006-02-07 15:11,139.3588219,181707.6915,2006-02-08 20:28,winter storm
SouthEast,2004-01-30 21:02,,83778.13621,2004-01-31 22:03,winter storm
SouthEast,2006-01-28 23:13,498.7776731,,,energy emergency
SouthEast,2006-02-14 08:47,539.4443518,,2006-02-14 08:56,equipment fault
SouthEast,2006-02-18 18:14,285.1843056,137396.6103,2006-02-18 18:36,energy emergency
SouthEast,2005-02-27 03:12,707.7584397,412588.2884,2005-02-27 03:29,equipment fault
SouthEast,2006-02-28 05:40,211.3827268,,2006-02-28 05:49,energy emergency
SouthEast,2003-03-23 19:10,260.2241922,64917.24231,2003-03-23 21:22,wind
MidWest,2006-03-31 05:18,,320161.8033,2006-04-04 21:07,winter storm
West,2006-04-23 22:59,144.5886154,,2006-04-23 23:03,thunder storm
SouthEast,2004-04-20 08:20,276.4034302,101585.6276,2004-04-20 08:35,energy emergency
MidWest,2006-05-01 11:07,,174889.5131,2006-05-04 02:51,winter storm
SouthEast,2004-05-10 12:02,79.67831092,47436.33922,2004-05-10 14:55,thunder storm
SouthWest,2004-05-10 20:47,869.1738579,360167.6648,2004-05-11 04:49,thunder storm
SouthEast,2006-05-16 23:20,302.7650328,,2006-05-17 00:24,energy emergency
SouthWest,2003-05-20 00:49,210.2718768,69792.12713,2003-05-20 10:03,thunder storm
MidWest,2003-06-26 10:51,2053.838668,214153.0526,2003-06-29 18:58,wind
MidWest,2003-06-07 19:09,,115853.498,2003-06-10 15:51,thunder storm
NorthEast,2006-06-10 16:01,,48973.59694,2006-06-12 03:34,thunder storm
NorthEast,2006-06-09 20:23,,203375.3476,2006-06-11 09:47,thunder storm
MidWest,2006-06-05 09:10,55.6934327,382330.3074,2006-06-07 18:00,thunder storm
SouthEast,2004-06-18 15:07,39.95200747,766299.5552,2004-06-18 19:34,energy emergency
MidWest,2004-08-04 16:19,422.6436474,61385.36557,2004-08-04 18:06,equipment fault
West,2003-06-20 18:22,0,0,,energy emergency
MidWest,2003-03-23 08:37,840.014257,107068.7354,2003-03-30 10:31,wind
SouthWest,2005-06-30 05:40,0,0,,energy emergency
SouthEast,2007-06-27 05:09,255.0077501,165489.2739,2007-06-27 05:26,energy emergency
SouthEast,2007-07-12 00:58,,318569.3064,2007-07-12 11:50,severe storm
SouthEast,2006-07-06 12:04,61.71053259,317166.1169,2006-07-07 18:54,severe storm
SouthEast,2006-07-20 17:09,70.9301943,70035.1429,2006-07-21 23:31,severe storm
West,2003-09-06 12:24,169.7298232,99656.001,2003-09-06 14:04,equipment fault
West,2003-06-03 07:21,305.7040429,180540.1254,2003-06-03 11:39,equipment fault
SouthEast,2006-07-19 04:44,,29090.5768,2006-07-22 15:09,thunder storm
NorthEast,2003-08-06 20:31,,76987.99674,2003-08-07 16:14,thunder storm
SouthEast,2005-07-28 21:55,,74100.0063,2005-08-01 19:38,thunder storm
NorthEast,2004-08-05 21:47,,74982.65168,2004-08-07 21:24,thunder storm
SouthEast,2004-08-03 00:13,220.1329123,43291.77266,2004-08-06 05:45,thunder storm
SouthEast,2003-08-06 14:17,125.014068,31206.24505,2003-08-06 14:45,energy emergency
West,2005-11-15 04:49,348.4232667,,2005-11-15 08:35,equipment fault
SouthEast,2004-08-11 23:49,333.5024276,79670.48929,2004-08-12 00:08,energy emergency
MidWest,2006-08-17 19:32,428.6519956,32427.09935,2006-08-17 22:08,thunder storm
West,2007-08-31 22:42,,,2007-09-01 02:39,energy emergency
West,2006-06-30 11:44,554.592748,293818.9503,2006-06-30 16:59,equipment fault
SouthEast,2005-08-25 05:10,306.1760004,150149.5342,2005-08-25 20:54,severe storm
SouthEast,2003-08-30 09:40,,1007075.398,2003-08-31 15:08,severe storm
SouthEast,2004-09-08 11:08,0,0,2004-09-18 03:52,severe storm
SouthEast,2005-09-02 11:00,5045.502946,456093.6078,2005-09-03 05:23,severe storm
SouthEast,2004-08-19 20:07,175.9794778,515197.4354,2004-09-02 18:49,severe storm
SouthEast,2004-08-28 20:56,0,0,2004-09-07 09:51,severe storm
SouthEast,2003-09-02 19:46,0,0,2003-09-16 22:25,severe storm
West,2007-10-20 20:56,3537.536428,1363723.576,2007-10-20 22:08,equipment fault
SouthEast,2004-09-23 18:25,370.6505451,100578.009,2004-09-23 18:41,energy emergency
MidWest,2007-09-20 23:50,591.2251254,117781.8488,2007-09-23 19:39,severe storm
SouthEast,2006-09-12 18:46,267.2168237,69205.97225,2006-09-14 03:10,severe storm
MidWest,2004-11-16 11:56,,268309.0661,2004-11-20 19:06,wind
MidWest,2003-09-15 14:56,418.703869,61044.61807,2003-09-22 04:21,thunder storm
SouthEast,2004-09-28 15:44,0,0,2004-10-04 20:35,severe storm
SouthEast,2005-09-16 10:47,0,0,2005-09-19 22:02,severe storm
SouthEast,2004-10-02 16:52,391.7024124,146171.4378,2004-10-10 05:33,severe storm
SouthWest,2003-09-24 22:43,2576.906082,948730.027,2003-09-25 14:46,severe storm
SouthEast,2004-09-23 00:48,,1060832.714,2004-09-24 06:37,severe storm
SouthWest,2003-09-18 10:40,301.8036356,239726.4079,2003-09-27 08:17,severe storm
MidWest,2006-09-29 13:54,487.0492275,115379.0255,2006-10-01 18:33,severe storm
SouthEast,2005-09-28 21:39,302.3806995,76379.84253,2005-09-28 21:55,energy emergency
SouthEast,2003-10-11 19:36,309.7978903,93581.72154,2003-10-11 19:49,energy emergency
SouthEast,2007-10-25 13:44,357.7714001,78713.5435,2007-10-25 15:45,energy emergency
SouthEast,2006-10-21 00:12,6966.365158,2028719.705,2006-10-21 12:38,severe storm
SouthEast,2007-10-28 08:05,294.021082,119907.3819,2007-10-28 17:00,severe storm
SouthEast,2006-10-30 12:12,121.4483006,69825.92263,2006-11-11 02:07,severe storm
NorthEast,2007-10-22 23:56,334.8317927,236700.1629,2007-11-02 01:26,severe storm
West,2007-07-16 14:58,132.7613196,,2007-07-16 15:04,equipment fault
MidWest,2007-10-28 13:23,113.9786419,70573.0625,2007-11-04 22:44,thunder storm
MidWest,2005-11-06 21:05,9.333215842,43500.36245,2005-11-09 20:21,thunder storm
MidWest,2007-11-23 04:52,209.2228017,155663.5046,2007-11-25 02:59,thunder storm
SouthEast,2007-12-10 08:58,2883.734755,523178.8468,2007-12-18 17:51,winter storm
SouthEast,2007-12-11 10:06,80.51755569,55654.59467,2007-12-12 06:26,winter storm
West,2006-12-28 14:04,804.0485704,1548585.477,2007-01-04 14:26,severe storm
NorthEast,2004-12-10 06:50,,64406.53769,2004-12-12 10:08,wind
NorthEast,2005-01-21 20:12,110.0272901,86371.91804,2005-01-21 22:05,severe storm
West,2004-01-09 00:38,139.3900416,130878.6385,2004-01-10 04:55,wind
West,2008-03-22 11:31,,84768.65369,2008-03-26 16:18,wind
NorthEast,2007-02-03 02:19,293.8325647,116280.0633,2007-02-04 21:24,winter storm
NorthEast,2008-02-18 05:24,353.2922959,64687.29936,2008-02-20 08:56,winter storm
NorthEast,2008-02-19 06:42,93.77476341,154655.6296,2008-02-20 19:38,winter storm
NorthEast,2004-02-22 07:18,34.72670708,41998.03896,2004-02-22 22:10,winter storm
NorthEast,2007-02-18 10:57,294.6381838,135419.5475,2007-02-18 20:24,winter storm
NorthEast,2007-02-24 17:10,91.88612418,258470.9425,2007-02-27 22:47,winter storm
MidWest,2008-02-07 06:18,2378.722331,0,2019-08-14 16:16,energy emergency
NorthEast,2008-02-15 09:48,325.905035,284873.3619,2008-02-15 15:42,severe storm
West,2007-02-28 16:50,558.2393107,,2007-03-01 00:26,energy emergency
West,2006-03-03 02:42,,190188.7303,2006-03-04 12:28,winter storm
SouthEast,2005-03-06 19:20,,67476.60779,2005-03-07 01:41,severe storm
NorthEast,2007-03-21 00:24,195.7989477,71326.95759,2007-03-23 09:18,severe storm
NorthEast,2005-04-02 01:58,1435.460525,229603.6988,2005-04-03 11:36,severe storm
SouthEast,2005-04-02 13:25,147.7834789,61169.80609,2005-04-02 14:03,energy emergency
SouthEast,2007-04-16 07:52,372.4620628,150581.4774,2007-04-16 14:24,severe storm
SouthWest,2008-04-15 20:39,748.4880318,157451.5769,2008-04-16 01:36,energy emergency
SouthWest,2005-04-27 22:15,211.6739096,63302.71111,2005-04-27 23:43,energy emergency
SouthWest,2008-04-14 21:51,322.6056602,360552.7883,2008-04-15 02:00,energy emergency
SouthWest,2006-04-25 22:03,53.56732496,13850.8867,2006-04-26 00:05,energy emergency
SouthWest,2006-04-19 21:31,135.8531068,65534.35337,2006-04-19 23:22,energy emergency
SouthWest,2006-04-17 12:59,208.7739686,73198.54123,2006-04-17 15:51,severe storm
SouthEast,2004-04-21 19:06,166.6962449,98746.73137,2004-04-21 19:48,thunder storm
West,2007-05-05 22:21,152.9988539,29155.88653,2007-05-06 02:29,fire
SouthEast,2006-04-28 17:56,149.446578,89016.34221,2006-04-28 18:25,energy emergency
West,2008-05-26 22:11,139.9913757,,2008-05-27 05:22,thunder storm
NorthEast,2006-05-19 23:50,1018.966719,234868.0357,2006-05-21 22:01,severe storm
NorthEast,2008-05-23 22:17,,144164.1603,2008-05-24 22:21,severe storm
NorthEast,2007-05-26 22:41,410.608974,93201.16005,2007-05-29 03:51,thunder storm
SouthEast,2008-06-14 21:55,74.05695149,82849.60931,2008-06-15 01:53,thunder storm
NorthEast,2005-07-01 18:04,529.7025446,157563.2633,2005-07-08 14:07,thunder storm
NorthEast,2008-06-26 22:36,425.2058045,93612.32165,2008-06-27 06:53,thunder storm
NorthEast,2006-07-01 21:36,497.2767889,85258.73925,2006-07-02 00:23,thunder storm
NorthEast,2005-07-23 17:45,119.6406417,246295.8884,2005-07-26 09:01,thunder storm
NorthEast,2004-07-09 22:52,,13361.27081,2004-07-15 07:02,severe storm
NorthEast,2005-07-08 00:46,,227657.3935,2005-07-08 11:45,thunder storm
NorthEast,2006-07-10 22:45,,703813.6052,2006-07-15 15:08,thunder storm
NorthEast,2008-07-21 23:57,0,0,2008-07-22 02:19,thunder storm
SouthEast,2008-07-28 15:12,20.40666582,4562.052739,2008-07-28 22:39,energy emergency
MidWest,2006-07-16 00:05,1817.939751,3295049.709,2006-07-27 14:42,severe storm
West,2004-07-17 20:07,163.1237034,927068.1703,2004-07-20 12:24,energy emergency
West,2005-07-18 21:13,342.366231,,2005-07-19 01:10,energy emergency
West,2005-07-25 21:50,664.24899,,2005-07-25 23:36,energy emergency
NorthEast,2007-07-24 22:28,,205198.3696,2007-07-26 00:09,thunder storm
NorthEast,2008-07-24 15:53,,,2008-07-24 22:35,energy emergency
NorthEast,2005-07-26 17:14,101.9829486,,2005-07-27 03:04,energy emergency
MidWest,2004-08-07 17:20,,,2004-08-07 21:33,energy emergency
NorthEast,2006-08-05 17:19,,,2006-08-05 20:35,energy emergency
NorthEast,2004-07-30 22:54,98.58579954,53974.60132,2004-07-31 05:06,thunder storm
SouthEast,2004-06-02 18:28,528.7654925,342387.8834,2004-06-02 19:08,equipment fault
NorthEast,2007-08-06 16:56,81.23782256,,2007-08-06 22:37,energy emergency
West,2005-08-10 02:45,108.585567,71768.9645,2005-08-10 22:59,thunder storm
SouthEast,2004-09-06 18:06,211.1892794,142362.4455,2004-09-06 19:21,equipment fault
SouthEast,2006-08-23 09:48,,76479.50886,2006-08-23 14:56,severe storm
SouthEast,2005-08-28 10:36,271.5844276,201262.0269,2005-08-30 02:16,severe storm
NorthEast,2006-09-08 13:59,529.1305759,128022.9429,2006-09-12 23:47,severe storm
NorthEast,2006-09-11 18:50,,81757.68448,2006-09-15 11:14,severe storm
NorthEast,2005-09-08 23:41,567.9683726,127365.4642,2005-09-10 11:55,severe storm
SouthEast,2006-07-02 06:01,84.51178796,50951.79966,2006-07-02 06:12,equipment fault
SouthEast,2008-10-03 00:16,63.78465341,44100.76478,2008-10-03 02:07,thunder storm
NorthEast,2008-09-27 17:41,,439224.8735,2008-09-29 06:05,thunder storm
West,2008-09-08 15:51,327.175419,118487.2225,2008-09-08 18:41,equipment fault
SouthWest,2007-12-22 22:58,336.1985495,,2007-12-23 01:34,equipment fault
NorthEast,2007-10-09 22:08,701.2887262,335634.7884,2007-10-20 15:01,winter storm
NorthEast,2004-10-15 23:42,423.6770934,129431.2041,2004-10-21 19:52,winter storm
NorthEast,2005-09-17 15:35,,119060.9016,2005-09-19 00:58,wind
West,2004-11-02 13:48,,58810.48309,2004-11-03 12:37,winter storm
SouthWest,2006-09-23 09:45,175.3545181,57316.84154,2006-09-23 18:26,wind
West,2007-10-22 15:22,52.08277302,50209.50265,2007-10-26 02:19,wind
